"","Package","Item","Title","Rows","Cols","has_logical","has_binary","has_numeric","has_character","has_factor"
"1","boot","acme","Monthly Excess Returns",60,3,FALSE,"FALSE",TRUE,TRUE,FALSE
"2","boot","aids","Delay in AIDS Reporting in England and Wales",570,6,FALSE,"TRUE",TRUE,FALSE,FALSE
"3","boot","aircondit","Failures of Air-conditioning Equipment",12,1,FALSE,"FALSE",TRUE,FALSE,FALSE
"4","boot","aircondit7","Failures of Air-conditioning Equipment",24,1,FALSE,"FALSE",TRUE,FALSE,FALSE
"5","boot","amis","Car Speeding and Warning Signs",8437,4,FALSE,"TRUE",TRUE,FALSE,FALSE
"6","boot","aml","Remission Times for Acute Myelogenous Leukaemia",23,3,FALSE,"TRUE",TRUE,FALSE,FALSE
"7","boot","beaver","Beaver Body Temperature Data",100,4,FALSE,"TRUE",TRUE,FALSE,FALSE
"8","boot","bigcity","Population of U.S. Cities",49,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"9","boot","brambles","Spatial Location of Bramble Canes",823,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"10","boot","breslow","Smoking Deaths Among Doctors",10,5,FALSE,"TRUE",TRUE,FALSE,TRUE
"11","boot","calcium","Calcium Uptake Data",27,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"12","boot","cane","Sugar-cane Disease Data",180,5,FALSE,"FALSE",TRUE,FALSE,TRUE
"13","boot","capability","Simulated Manufacturing Process Data",75,1,FALSE,"FALSE",TRUE,FALSE,FALSE
"14","boot","catsM","Weight Data for Domestic Cats",97,3,FALSE,"FALSE",TRUE,FALSE,TRUE
"15","boot","cav","Position of Muscle Caveolae",138,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"16","boot","cd4","CD4 Counts for HIV-Positive Patients",20,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"18","boot","channing","Channing House Data",462,5,FALSE,"TRUE",TRUE,FALSE,TRUE
"19","boot","city","Population of U.S. Cities",10,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"20","boot","claridge","Genetic Links to Left-handedness",37,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"21","boot","cloth","Number of Flaws in Cloth",32,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"22","boot","co.transfer","Carbon Monoxide Transfer",7,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"23","boot","coal","Dates of Coal Mining Disasters",191,1,FALSE,"FALSE",TRUE,FALSE,FALSE
"24","boot","darwin","Darwin's Plant Height Differences",15,1,FALSE,"FALSE",TRUE,FALSE,FALSE
"25","boot","dogs","Cardiac Data for Domestic Dogs",7,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"26","boot","downs.bc","Incidence of Down's Syndrome in British Columbia",30,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"27","boot","ducks","Behavioral and Plumage Characteristics of Hybrid Ducks",11,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"28","boot","fir","Counts of Balsam-fir Seedlings",50,3,FALSE,"FALSE",TRUE,FALSE,FALSE
